cli_document,frequencia,monetario,ultima_compra,primeira_compra,tipo_cliente,uf,recencia,recomprou,tempo_ate_segunda_compra
CLI_000059B4,1,190.42,2024-11-28,2024-11-28,NOVO,RS,33,0,
CLI_00020501,3,440.17,2024-01-15,2023-11-23,ANTIGO,RJ,351,1,43.0
CLI_0005815F,1,69.93,2023-11-07,2023-11-07,NOVO,RJ,420,0,
CLI_00058283,1,328.8,2023-10-26,2023-10-26,ANTIGO,RS,432,0,
CLI_0006252F,1,637.9,2024-04-24,2024-04-24,NOVO,SP,251,0,
CLI_00068113,1,145.46,2024-11-10,2024-11-10,NOVO,SP,51,0,
CLI_000AA903,1,131.22,2023-07-23,2023-07-23,ANTIGO,MG,527,0,
CLI_000C9F97,1,84.92,2024-03-25,2024-03-25,NOVO,SP,281,0,
CLI_00155BF9,1,249.04,2024-12-21,2024-12-21,NOVO,SP,10,0,
CLI_00158C5B,1,204.19,2023-11-26,2023-11-26,ANTIGO,RJ,401,0,
CLI_00158C87,1,94.61,2024-11-30,2024-11-30,ANTIGO,RJ,31,0,
CLI_0016414C,1,118.26,2024-06-12,2024-06-12,NOVO,RJ,202,0,
CLI_001845FA,1,104.99,2024-05-01,2024-05-01,NOVO,BA,244,0,
CLI_0018A89F,3,873.96,2024-01-10,2023-07-04,NOVO,RJ,356,1,90.0
CLI_0018F8D6,1,239.84,2024-07-09,2024-07-09,NOVO,RJ,175,0,
CLI_001CD6AB,3,850.18,2024-10-22,2023-10-18,NOVO,CE,70,1,125.0
CLI_001ED8AB,1,129.9,2023-12-23,2023-12-23,NOVO,SP,374,0,
CLI_001EEA08,1,385.2,2024-05-08,2024-05-08,NOVO,RJ,237,0,
CLI_001FC77A,2,321.33,2024-06-20,2024-06-20,NOVO,SP,194,1,0.0
CLI_00200010,1,115.31,2024-06-05,2024-06-05,NOVO,PR,209,0,
CLI_0025AA0E,2,593.16,2024-08-13,2023-09-07,NOVO,RJ,140,1,341.0
CLI_0029B000,1,149.47,2024-02-27,2024-02-27,NOVO,SP,308,0,
CLI_002A8577,1,194.65,2023-10-02,2023-10-02,NOVO,SP,456,0,
CLI_002D391E,1,143.61,2023-11-30,2023-11-30,NOVO,SP,397,0,
CLI_002D4268,1,162.01,2024-10-18,2024-10-18,ANTIGO,RJ,74,0,
CLI_002E9D86,1,135.82,2024-03-15,2024-03-15,NOVO,SP,291,0,
CLI_002FD309,1,148.87,2023-08-21,2023-08-21,ANTIGO,SP,498,0,
CLI_0031754D,2,363.38,2024-10-13,2023-09-02,ANTIGO,SP,79,1,407.0
CLI_00321A75,1,449.54,2024-10-14,2024-10-14,NOVO,RS,78,0,
CLI_00325BD9,1,233.66,2024-11-10,2024-11-10,NOVO,RJ,51,0,
CLI_00345518,2,437.64,2024-12-22,2024-04-10,NOVO,RS,9,1,256.0
CLI_00346112,1,81.67,2023-12-14,2023-12-14,ANTIGO,SP,383,0,
CLI_0036BF43,1,279.2,2023-07-25,2023-07-25,ANTIGO,SP,525,0,
CLI_0038D2DC,1,230.32,2023-08-03,2023-08-03,NOVO,RJ,516,0,
CLI_003AB431,1,449.8,2024-12-16,2024-12-16,NOVO,SP,15,0,
CLI_003ACB7E,2,468.06,2024-12-01,2024-08-13,NOVO,RS,30,1,110.0
CLI_003BA604,1,203.86,2024-07-01,2024-07-01,NOVO,GO,183,0,
